summary_id,program_id,fiscal_year,disaster_number,total_disbursement,prior_year_disbursement,yoy_pct_change,trigger_flag,data_watermark
SS-PROG-HM-2023-4340,PROG-HM,2023,4340,80001879.54,71430249.60,12.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2024-4332,PROG-HM,2024,4332,12136754.34,12911440.78,-6.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2024-4337,PROG-HM,2024,4337,9525568.04,10133583.02,-6.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2024-4339,PROG-HM,2024,4339,124223910.86,132153096.66,-6.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2024-4340,PROG-HM,2024,4340,75201766.76,80001879.54,-6.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2025-4332,PROG-HM,2025,4332,13229062.22,12136754.34,9.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2025-4337,PROG-HM,2025,4337,10382869.16,9525568.04,9.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2025-4339,PROG-HM,2025,4339,135404062.84,124223910.86,9.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2025-4340,PROG-HM,2025,4340,81969925.78,75201766.76,9.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2026-4332,PROG-HM,2026,4332,9128052.94,13229062.22,-31.0,true,SYNTHETIC-DEMO
SS-PROG-HM-2026-4337,PROG-HM,2026,4337,7164179.72,10382869.16,-31.0,true,SYNTHETIC-DEMO
SS-PROG-HM-2026-4339,PROG-HM,2026,4339,93428803.36,135404062.84,-31.0,true,SYNTHETIC-DEMO
SS-PROG-HM-2026-4340,PROG-HM,2026,4340,56559248.78,81969925.78,-31.0,true,SYNTHETIC-DEMO
SS-PROG-IA-2022-4332,PROG-IA,2022,4332,5624230.76,,,false,SYNTHETIC-DEMO
SS-PROG-IA-2022-4337,PROG-IA,2022,4337,4414194.38,,,false,SYNTHETIC-DEMO
SS-PROG-IA-2022-4339,PROG-IA,2022,4339,230263848.68,,,false,SYNTHETIC-DEMO
SS-PROG-IA-2022-4340,PROG-IA,2022,4340,69697726.18,,,false,SYNTHETIC-DEMO
SS-PROG-IA-2023-4332,PROG-IA,2023,4332,6017926.91,5624230.76,7.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2023-4337,PROG-IA,2023,4337,4723187.99,4414194.38,7.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2023-4339,PROG-IA,2023,4339,246382318.10,230263848.68,7.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2023-4340,PROG-IA,2023,4340,74576567.00,69697726.18,7.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2024-4332,PROG-IA,2024,4332,7462229.37,6017926.91,24.0,true,SYNTHETIC-DEMO
SS-PROG-IA-2024-4337,PROG-IA,2024,4337,5856753.11,4723187.99,24.0,true,SYNTHETIC-DEMO
SS-PROG-IA-2024-4339,PROG-IA,2024,4339,305514074.44,246382318.10,24.0,true,SYNTHETIC-DEMO
SS-PROG-IA-2024-4340,PROG-IA,2024,4340,92474943.08,74576567.00,24.0,true,SYNTHETIC-DEMO
SS-PROG-IA-2025-4332,PROG-IA,2025,4332,7089117.91,7462229.37,-5.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2025-4337,PROG-IA,2025,4337,5563915.45,5856753.11,-5.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2025-4339,PROG-IA,2025,4339,290238370.72,305514074.44,-5.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2025-4340,PROG-IA,2025,4340,87851195.92,92474943.08,-5.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2026-4332,PROG-IA,2026,4332,7656247.34,7089117.91,8.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2026-4337,PROG-IA,2026,4337,6009028.69,5563915.45,8.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2026-4339,PROG-IA,2026,4339,313457440.37,290238370.72,8.0,false,SYNTHETIC-DEMO
SS-PROG-IA-2026-4340,PROG-IA,2026,4340,94879291.60,87851195.92,8.0,false,SYNTHETIC-DEMO
SS-PROG-HS-2022-ND,PROG-HS,2022,,260000000.00,,,false,SYNTHETIC-DEMO
SS-PROG-HS-2023-ND,PROG-HS,2023,,332800000.00,260000000.00,28.0,true,SYNTHETIC-DEMO
SS-PROG-HS-2024-ND,PROG-HS,2024,,349440000.00,332800000.00,5.0,false,SYNTHETIC-DEMO
SS-PROG-HS-2025-ND,PROG-HS,2025,,387878400.00,349440000.00,11.0,false,SYNTHETIC-DEMO
SS-PROG-HS-2026-ND,PROG-HS,2026,,469332864.00,387878400.00,21.0,true,SYNTHETIC-DEMO
SS-PROG-UR-2022-ND,PROG-UR,2022,,38000000.00,,,false,SYNTHETIC-DEMO
SS-PROG-UR-2023-ND,PROG-UR,2023,,39520000.00,38000000.00,4.0,false,SYNTHETIC-DEMO
SS-PROG-UR-2024-ND,PROG-UR,2024,,42681600.00,39520000.00,8.0,false,SYNTHETIC-DEMO
SS-PROG-UR-2025-ND,PROG-UR,2025,,33291648.00,42681600.00,-22.0,true,SYNTHETIC-DEMO
SS-PROG-UR-2026-ND,PROG-UR,2026,,39617061.12,33291648.00,19.0,false,SYNTHETIC-DEMO
