txn_id,raw_code,code,disaster_number,is_disaster,fiscal_year,disbursement_amount,disbursement_type,disbursement_date,data_watermark
TXN-000036,PA-60101-4339,PA-60101-4339,4339,true,2022,5400683.33,Grant award payment,2022-07-03,SYNTHETIC-DEMO
TXN-000037,PA-60101-4339,PA-60101-4339,4339,true,2022,8641738.72,Vendor / contract payment,2022-04-02,SYNTHETIC-DEMO
TXN-000038,PA-60101-4339,PA-60101-4339,4339,true,2022,11019698.62,Vendor / contract payment,2022-08-27,SYNTHETIC-DEMO
TXN-000039,PA-60101-4339,PA-60101-4339,4339,true,2022,6317384.58,Grant award payment,2022-09-09,SYNTHETIC-DEMO
TXN-000040,PA-60101-4339,PA-60101-4339,4339,true,2022,4932680.15,Grant award payment,2022-05-29,SYNTHETIC-DEMO
TXN-000041,PA/60102/4339,PA-60102-4339,4339,true,2022,8758964.98,Interagency transfer,2022-01-11,SYNTHETIC-DEMO
TXN-000042,PA-60102-4339,PA-60102-4339,4339,true,2022,4517425.27,Grant award payment,2022-05-31,SYNTHETIC-DEMO
TXN-000043,PA-60102-4339,PA-60102-4339,4339,true,2022,7575853.69,Vendor / contract payment,2022-01-31,SYNTHETIC-DEMO
TXN-000044,PA-60102-4339,PA-60102-4339,4339,true,2022,6652191.63,Grant award payment,2021-12-04,SYNTHETIC-DEMO
TXN-000045,PA-60102-4339,PA-60102-4339,4339,true,2022,9535798.33,Grant award payment,2022-01-18,SYNTHETIC-DEMO
TXN-000046,PA-60102-4339,PA-60102-4339,4339,true,2022,6105709.72,Interagency transfer,2022-09-27,SYNTHETIC-DEMO
TXN-000047,PA-60102-4339,PA-60102-4339,4339,true,2022,9951246.01,Grant award payment,2022-03-05,SYNTHETIC-DEMO
TXN-000048,PA-60102-4339,PA-60102-4339,4339,true,2022,8546138.07,Grant award payment,2021-10-11,SYNTHETIC-DEMO
TXN-000049,PA-60102-4339,PA-60102-4339,4339,true,2022,7221083.35,Vendor / contract payment,2022-09-19,SYNTHETIC-DEMO
TXN-000050,PA-60102-4339,PA-60102-4339,4339,true,2022,4371653.39,Grant award payment,2022-02-14,SYNTHETIC-DEMO
TXN-000051,PA-60102-4339,PA-60102-4339,4339,true,2022,8808961.59,Vendor / contract payment,2022-03-15,SYNTHETIC-DEMO
TXN-000052,PA-60102-4339,PA-60102-4339,4339,true,2022,4822507.97,Grant award payment,2022-02-23,SYNTHETIC-DEMO
TXN-000053,PA-60103-4339,PA-60103-4339,4339,true,2022,6771000.75,Direct assistance payment,2022-08-24,SYNTHETIC-DEMO
TXN-000054,PA-60103-4339,PA-60103-4339,4339,true,2022,7801609.39,Grant award payment,2022-05-24,SYNTHETIC-DEMO
TXN-000055,PA-60103-4339,PA-60103-4339,4339,true,2022,5520600.25,Vendor / contract payment,2021-11-04,SYNTHETIC-DEMO
TXN-000056,PA-60103-4339,PA-60103-4339,4339,true,2022,4045865.18,Grant award payment,2022-09-14,SYNTHETIC-DEMO
TXN-000057,PA-60103-4339,PA-60103-4339,4339,true,2022,5613112.26,Vendor / contract payment,2021-11-25,SYNTHETIC-DEMO
TXN-000058,PA-60103-4339,PA-60103-4339,4339,true,2022,8575787.45,Grant award payment,2022-02-19,SYNTHETIC-DEMO
TXN-000059,PA-60103-4339,PA-60103-4339,4339,true,2022,8999724.49,Vendor / contract payment,2022-07-16,SYNTHETIC-DEMO
TXN-000060,PA-60103-4339,PA-60103-4339,4339,true,2022,5653880.28,Interagency transfer,2022-08-04,SYNTHETIC-DEMO
TXN-000061,PA-60103-4339,PA-60103-4339,4339,true,2022,7106607.29,Grant award payment,2021-11-17,SYNTHETIC-DEMO
TXN-000062,PA-60103-4339,PA-60103-4339,4339,true,2022,6036764.77,Interagency transfer,2022-06-16,SYNTHETIC-DEMO
TXN-000063,PA-60103-4339,PA-60103-4339,4339,true,2022,5264456.46,Grant award payment,2021-11-19,SYNTHETIC-DEMO
TXN-000064,PA-60103-4339,PA-60103-4339,4339,true,2022,7680594.42,Grant award payment,2022-07-29,SYNTHETIC-DEMO
TXN-000065,PA-60103-4339,PA-60103-4339,4339,true,2022,7797531.01,Direct assistance payment,2022-06-06,SYNTHETIC-DEMO
TXN-000066,PA-97036-4340,PA-97036-4340,4340,true,2022,6813283.42,Vendor / contract payment,2022-09-10,SYNTHETIC-DEMO
TXN-000067,PA-97036-4340,PA-97036-4340,4340,true,2022,6275470.37,Grant award payment,2022-09-28,SYNTHETIC-DEMO
TXN-000068,PA-97036-4340,PA-97036-4340,4340,true,2022,5892280.06,Grant award payment,2021-10-20,SYNTHETIC-DEMO
TXN-000069,PA-97036-4340,PA-97036-4340,4340,true,2022,5339263.85,Grant award payment,2022-02-09,SYNTHETIC-DEMO
TXN-000070,PA-97036-4340,PA-97036-4340,4340,true,2022,6268520.77,Vendor / contract payment,2022-04-17,SYNTHETIC-DEMO
TXN-000071,PA-97036-4340,PA-97036-4340,4340,true,2022,4713532.88,Interagency transfer,2022-06-06,SYNTHETIC-DEMO
TXN-000072,PA-97036-4340,PA-97036-4340,4340,true,2022,4544724.92,Vendor / contract payment,2022-09-13,SYNTHETIC-DEMO
TXN-000073,PA-97036-4340,PA-97036-4340,4340,true,2022,5029858.81,Grant award payment,2022-05-22,SYNTHETIC-DEMO
TXN-000074,PA-97036-4340,PA-97036-4340,4340,true,2022,7710300.23,Grant award payment,2022-09-11,SYNTHETIC-DEMO
TXN-000075,PA/60101/4340,PA-60101-4340,4340,true,2022,5677893.03,Grant award payment,2022-05-08,SYNTHETIC-DEMO
TXN-000076,PA-60101-4340,PA-60101-4340,4340,true,2022,3440016.97,Direct assistance payment,2021-12-23,SYNTHETIC-DEMO
TXN-000077,PA-60101-4340,PA-60101-4340,4340,true,2022,5221510.29,Vendor / contract payment,2022-02-04,SYNTHETIC-DEMO
TXN-000078,LEG-0004,PA-60101-4340,4340,true,2022,5287774.76,Grant award payment,2021-12-19,SYNTHETIC-DEMO
TXN-000079,LEG-0004,PA-60101-4340,4340,true,2022,6670384.47,Grant award payment,2022-04-22,SYNTHETIC-DEMO
TXN-000080,PA-60101-4340,PA-60101-4340,4340,true,2022,4191617.83,Direct assistance payment,2022-09-23,SYNTHETIC-DEMO
TXN-000081,LEG-0004,PA-60101-4340,4340,true,2022,7589378.52,Grant award payment,2022-08-20,SYNTHETIC-DEMO
TXN-000082,PA-60101-4340,PA-60101-4340,4340,true,2022,7367494.49,Vendor / contract payment,2022-09-13,SYNTHETIC-DEMO
TXN-000083,LEG-0004,PA-60101-4340,4340,true,2022,7141164.95,Grant award payment,2022-06-28,SYNTHETIC-DEMO
TXN-000084,PA-60102-4340,PA-60102-4340,4340,true,2022,6356850.48,Vendor / contract payment,2022-06-15,SYNTHETIC-DEMO
TXN-000085,PA-60102-4340,PA-60102-4340,4340,true,2022,4739601.60,Interagency transfer,2022-06-02,SYNTHETIC-DEMO
TXN-000086,PA-60102-4340,PA-60102-4340,4340,true,2022,6441112.92,Grant award payment,2022-07-20,SYNTHETIC-DEMO
TXN-000087,PA-60102-4340,PA-60102-4340,4340,true,2022,6840686.15,Direct assistance payment,2021-11-30,SYNTHETIC-DEMO
TXN-000088,PA-60102-4340,PA-60102-4340,4340,true,2022,5270763.59,Grant award payment,2022-01-23,SYNTHETIC-DEMO
TXN-000089,PA-60102-4340,PA-60102-4340,4340,true,2022,7707357.08,Grant award payment,2022-08-31,SYNTHETIC-DEMO
TXN-000090,PA-60102-4340,PA-60102-4340,4340,true,2022,7388765.68,Vendor / contract payment,2022-02-12,SYNTHETIC-DEMO
TXN-000091,PA-60102-4340,PA-60102-4340,4340,true,2022,4402228.42,Direct assistance payment,2022-08-19,SYNTHETIC-DEMO
TXN-000092,PA-60102-4340,PA-60102-4340,4340,true,2022,3439869.39,Grant award payment,2022-02-04,SYNTHETIC-DEMO
TXN-000093,PA-60103-4340,PA-60103-4340,4340,true,2022,3538682.36,Vendor / contract payment,2022-06-11,SYNTHETIC-DEMO
TXN-000094,PA-60103-4340,PA-60103-4340,4340,true,2022,3967678.75,Grant award payment,2022-07-01,SYNTHETIC-DEMO
TXN-000095,PA-60103-4340,PA-60103-4340,4340,true,2022,5569130.42,Grant award payment,2022-08-19,SYNTHETIC-DEMO
TXN-000096,PA-60103-4340,PA-60103-4340,4340,true,2022,5911497.08,Vendor / contract payment,2021-12-17,SYNTHETIC-DEMO
TXN-000097,PA-60103-4340,PA-60103-4340,4340,true,2022,6617765.06,Direct assistance payment,2022-05-15,SYNTHETIC-DEMO
TXN-000098,PA-60103-4340,PA-60103-4340,4340,true,2022,7002178.35,Direct assistance payment,2022-04-09,SYNTHETIC-DEMO
TXN-000099,PA-60103-4340,PA-60103-4340,4340,true,2022,6123890.46,Vendor / contract payment,2022-03-02,SYNTHETIC-DEMO
TXN-000100,PA-60103-4340,PA-60103-4340,4340,true,2022,7670241.27,Grant award payment,2022-07-07,SYNTHETIC-DEMO
TXN-000101,PA-60103-4340,PA-60103-4340,4340,true,2022,6186171.56,Grant award payment,2021-10-08,SYNTHETIC-DEMO
TXN-000102,PA-97036-4341,PA-97036-4341,4341,true,2022,315.90,Grant award payment,2021-12-26,SYNTHETIC-DEMO
TXN-000103,PA-60101-4341,PA-60101-4341,4341,true,2022,315.90,Grant award payment,2022-04-17,SYNTHETIC-DEMO
TXN-000104,PA-60102-4341,PA-60102-4341,4341,true,2022,315.90,Grant award payment,2022-02-14,SYNTHETIC-DEMO
TXN-000105,PA-60103-4341,PA-60103-4341,4341,true,2022,315.90,Grant award payment,2021-12-09,SYNTHETIC-DEMO
TXN-000106,PA-97036-4346,PA-97036-4346,4346,true,2022,87662.62,Grant award payment,2022-09-11,SYNTHETIC-DEMO
TXN-000107,PA-60101-4346,PA-60101-4346,4346,true,2022,87662.62,Vendor / contract payment,2022-02-11,SYNTHETIC-DEMO
TXN-000108,PA-60102-4346,PA-60102-4346,4346,true,2022,87662.62,Direct assistance payment,2022-07-11,SYNTHETIC-DEMO
TXN-000109,PA-60103-4346,PA-60103-4346,4346,true,2022,87662.62,Grant award payment,2022-09-26,SYNTHETIC-DEMO
TXN-000110,LEG-0001,PA-97036-4332,4332,true,2023,4848924.47,Grant award payment,2023-09-10,SYNTHETIC-DEMO
TXN-000111,LEG-0001,PA-97036-4332,4332,true,2023,4401919.46,Direct assistance payment,2023-08-12,SYNTHETIC-DEMO
TXN-000112,PA-60101-4332,PA-60101-4332,4332,true,2023,6275666.98,Vendor / contract payment,2023-06-23,SYNTHETIC-DEMO
TXN-000113,PA-60101-4332,PA-60101-4332,4332,true,2023,2975176.95,Vendor / contract payment,2023-08-19,SYNTHETIC-DEMO
TXN-000114,PA-60102-4332,PA-60102-4332,4332,true,2023,5392331.56,Direct assistance payment,2023-04-24,SYNTHETIC-DEMO
TXN-000115,PA-60102-4332,PA-60102-4332,4332,true,2023,3858512.37,Vendor / contract payment,2022-10-08,SYNTHETIC-DEMO
TXN-000116,PA-60103-4332,PA-60103-4332,4332,true,2023,3397627.51,Grant award payment,2023-06-23,SYNTHETIC-DEMO
TXN-000117,PA-60103-4332,PA-60103-4332,4332,true,2023,5853216.42,Direct assistance payment,2023-02-05,SYNTHETIC-DEMO
TXN-000118,PA-97036-4337,PA-97036-4337,4337,true,2023,7260552.61,Vendor / contract payment,2023-02-18,SYNTHETIC-DEMO
TXN-000119,PA-60101-4337,PA-60101-4337,4337,true,2023,7260552.61,Grant award payment,2022-10-13,SYNTHETIC-DEMO
TXN-000120,PA-60102-4337,PA-60102-4337,4337,true,2023,7260552.61,Grant award payment,2023-02-07,SYNTHETIC-DEMO
TXN-000121,PA/60103/4337,PA-60103-4337,4337,true,2023,7260552.61,Direct assistance payment,2023-08-23,SYNTHETIC-DEMO
TXN-000122,PA-97036-4338,PA-97036-4338,4338,true,2023,337008.33,Grant award payment,2023-02-03,SYNTHETIC-DEMO
TXN-000123,PA-60101-4338,PA-60101-4338,4338,true,2023,337008.33,Interagency transfer,2023-07-10,SYNTHETIC-DEMO
TXN-000124,PA-60102-4338,PA-60102-4338,4338,true,2023,337008.33,Grant award payment,2023-06-09,SYNTHETIC-DEMO
TXN-000125,PA-60103-4338,PA-60103-4338,4338,true,2023,337008.33,Vendor / contract payment,2022-10-24,SYNTHETIC-DEMO
TXN-000126,PA-97036-4339,PA-97036-4339,4339,true,2023,9522888.49,Direct assistance payment,2023-03-07,SYNTHETIC-DEMO
TXN-000127,PA-97036-4339,PA-97036-4339,4339,true,2023,7557845.01,Grant award payment,2023-05-02,SYNTHETIC-DEMO
TXN-000128,PA-97036-4339,PA-97036-4339,4339,true,2023,4415416.21,Grant award payment,2023-05-26,SYNTHETIC-DEMO
TXN-000129,PA-97036-4339,PA-97036-4339,4339,true,2023,8182276.16,Grant award payment,2023-02-08,SYNTHETIC-DEMO
TXN-000130,PA-97036-4339,PA-97036-4339,4339,true,2023,9255368.99,Vendor / contract payment,2023-07-26,SYNTHETIC-DEMO
TXN-000131,PA-97036-4339,PA-97036-4339,4339,true,2023,8690307.45,Direct assistance payment,2023-05-10,SYNTHETIC-DEMO
TXN-000132,PA-97036-4339,PA-97036-4339,4339,true,2023,4671656.60,Grant award payment,2022-12-12,SYNTHETIC-DEMO
TXN-000133,PA-97036-4339,PA-97036-4339,4339,true,2023,7495899.07,Vendor / contract payment,2023-07-23,SYNTHETIC-DEMO
TXN-000134,PA-97036-4339,PA-97036-4339,4339,true,2023,7851157.81,Grant award payment,2023-02-28,SYNTHETIC-DEMO
TXN-000135,PA-97036-4339,PA-97036-4339,4339,true,2023,7610377.86,Direct assistance payment,2023-01-28,SYNTHETIC-DEMO
TXN-000136,PA-97036-4339,PA-97036-4339,4339,true,2023,5792440.72,Grant award payment,2022-10-05,SYNTHETIC-DEMO
TXN-000137,PA-97036-4339,PA-97036-4339,4339,true,2023,7820044.73,Vendor / contract payment,2023-05-07,SYNTHETIC-DEMO
TXN-000138,PA-97036-4339,PA-97036-4339,4339,true,2023,5819932.96,Vendor / contract payment,2023-02-13,SYNTHETIC-DEMO
TXN-000139,PA-60101-4339,PA-60101-4339,4339,true,2023,5519568.79,Grant award payment,2022-11-02,SYNTHETIC-DEMO
TXN-000140,PA-60101-4339,PA-60101-4339,4339,true,2023,4940324.55,Direct assistance payment,2023-06-09,SYNTHETIC-DEMO
TXN-000141,PA-60101-4339,PA-60101-4339,4339,true,2023,8395667.86,Grant award payment,2023-02-20,SYNTHETIC-DEMO
TXN-000142,PA-60101-4339,PA-60101-4339,4339,true,2023,8567710.87,Vendor / contract payment,2023-08-29,SYNTHETIC-DEMO
TXN-000143,PA-60101-4339,PA-60101-4339,4339,true,2023,7635714.24,Vendor / contract payment,2023-02-03,SYNTHETIC-DEMO
TXN-000144,PA-60101-4339,PA-60101-4339,4339,true,2023,5652774.86,Direct assistance payment,2023-09-04,SYNTHETIC-DEMO
TXN-000145,PA-60101-4339,PA-60101-4339,4339,true,2023,6627114.99,Direct assistance payment,2022-11-16,SYNTHETIC-DEMO
TXN-000146,PA-60101-4339,PA-60101-4339,4339,true,2023,6488026.86,Grant award payment,2022-11-19,SYNTHETIC-DEMO
TXN-000147,PA-60101-4339,PA-60101-4339,4339,true,2023,5234605.40,Grant award payment,2023-04-05,SYNTHETIC-DEMO
TXN-000148,PA-60101-4339,PA-60101-4339,4339,true,2023,5669148.82,Grant award payment,2022-10-28,SYNTHETIC-DEMO
TXN-000149,PA-60101-4339,PA-60101-4339,4339,true,2023,11064420.60,Direct assistance payment,2022-11-05,SYNTHETIC-DEMO
TXN-000150,PA-60101-4339,PA-60101-4339,4339,true,2023,8089452.82,Grant award payment,2023-08-28,SYNTHETIC-DEMO
TXN-000151,PA-60101-4339,PA-60101-4339,4339,true,2023,10801081.40,Grant award payment,2023-04-20,SYNTHETIC-DEMO
TXN-000152,PA-60102-4339,PA-60102-4339,4339,true,2023,4758120.78,Grant award payment,2023-08-12,SYNTHETIC-DEMO
TXN-000153,PA-60102-4339,PA-60102-4339,4339,true,2023,9375699.47,Interagency transfer,2023-07-08,SYNTHETIC-DEMO
TXN-000154,PA-60102-4339,PA-60102-4339,4339,true,2023,5660265.80,Grant award payment,2022-10-25,SYNTHETIC-DEMO
TXN-000155,PA-60102-4339,PA-60102-4339,4339,true,2023,4265270.49,Grant award payment,2023-03-11,SYNTHETIC-DEMO
TXN-000156,PA-60102-4339,PA-60102-4339,4339,true,2023,9394337.20,Vendor / contract payment,2023-07-21,SYNTHETIC-DEMO
TXN-000157,PA-60102-4339,PA-60102-4339,4339,true,2023,7148587.56,Grant award payment,2023-01-03,SYNTHETIC-DEMO
TXN-000158,PA-60102-4339,PA-60102-4339,4339,true,2023,7087187.39,Grant award payment,2023-04-28,SYNTHETIC-DEMO
TXN-000159,PA-60102-4339,PA-60102-4339,4339,true,2023,7937303.63,Vendor / contract payment,2023-06-27,SYNTHETIC-DEMO
TXN-000160,PA-60102-4339,PA-60102-4339,4339,true,2023,7918713.72,Grant award payment,2022-10-02,SYNTHETIC-DEMO
TXN-000161,PA-60102-4339,PA-60102-4339,4339,true,2023,7367946.08,Vendor / contract payment,2023-05-20,SYNTHETIC-DEMO
TXN-000162,PA-60102-4339,PA-60102-4339,4339,true,2023,6975542.26,Grant award payment,2022-11-08,SYNTHETIC-DEMO
TXN-000163,PA-60102-4339,PA-60102-4339,4339,true,2023,6051488.09,Grant award payment,2023-08-03,SYNTHETIC-DEMO
TXN-000164,PA-60102-4339,PA-60102-4339,4339,true,2023,3760534.08,Interagency transfer,2022-11-18,SYNTHETIC-DEMO
TXN-000165,PA-60102-4339,PA-60102-4339,4339,true,2023,6984615.51,Grant award payment,2023-09-14,SYNTHETIC-DEMO
TXN-000166,PA-60103-4339,PA-60103-4339,4339,true,2023,8977416.79,Interagency transfer,2023-06-19,SYNTHETIC-DEMO
TXN-000167,PA-60103-4339,PA-60103-4339,4339,true,2023,7251001.53,Interagency transfer,2023-01-11,SYNTHETIC-DEMO
TXN-000168,PA-60103-4339,PA-60103-4339,4339,true,2023,5736203.85,Grant award payment,2023-01-06,SYNTHETIC-DEMO
TXN-000169,PA-60103-4339,PA-60103-4339,4339,true,2023,4503231.75,Grant award payment,2023-05-09,SYNTHETIC-DEMO
TXN-000170,PA-60103-4339,PA-60103-4339,4339,true,2023,4136228.24,Grant award payment,2023-06-07,SYNTHETIC-DEMO
TXN-000171,PA-60103-4339,PA-60103-4339,4339,true,2023,7635436.09,Grant award payment,2023-01-16,SYNTHETIC-DEMO
TXN-000172,PA-60103-4339,PA-60103-4339,4339,true,2023,4077729.77,Grant award payment,2023-04-20,SYNTHETIC-DEMO
TXN-000173,PA-60103-4339,PA-60103-4339,4339,true,2023,6225747.64,Vendor / contract payment,2023-01-23,SYNTHETIC-DEMO
TXN-000174,PA-60103-4339,PA-60103-4339,4339,true,2023,7710515.84,Grant award payment,2022-12-06,SYNTHETIC-DEMO
TXN-000175,PA-60103-4339,PA-60103-4339,4339,true,2023,4310811.83,Grant award payment,2023-08-09,SYNTHETIC-DEMO
TXN-000176,PA-60103-4339,PA-60103-4339,4339,true,2023,9666636.21,Vendor / contract payment,2023-01-04,SYNTHETIC-DEMO
TXN-000177,PA-60103-4339,PA-60103-4339,4339,true,2023,4121841.60,Vendor / contract payment,2023-04-10,SYNTHETIC-DEMO
TXN-000178,PA-60103-4339,PA-60103-4339,4339,true,2023,9821851.76,Grant award payment,2023-04-21,SYNTHETIC-DEMO
TXN-000179,PA-60103-4339,PA-60103-4339,4339,true,2023,10510959.16,Grant award payment,2023-07-21,SYNTHETIC-DEMO
TXN-000180,PA-97036-4340,PA-97036-4340,4340,true,2023,4053072.23,Grant award payment,2023-04-12,SYNTHETIC-DEMO
TXN-000181,PA-97036-4340,PA-97036-4340,4340,true,2023,6925382.10,Grant award payment,2023-01-22,SYNTHETIC-DEMO
TXN-000182,PA-97036-4340,PA-97036-4340,4340,true,2023,4532386.54,Direct assistance payment,2023-01-22,SYNTHETIC-DEMO
TXN-000183,PA-97036-4340,PA-97036-4340,4340,true,2023,6009581.40,Grant award payment,2022-12-24,SYNTHETIC-DEMO
TXN-000184,PA-97036-4340,PA-97036-4340,4340,true,2023,4700420.24,Vendor / contract payment,2022-12-27,SYNTHETIC-DEMO
TXN-000185,PA-97036-4340,PA-97036-4340,4340,true,2023,9163859.18,Grant award payment,2023-03-28,SYNTHETIC-DEMO
TXN-000186,PA-97036-4340,PA-97036-4340,4340,true,2023,4630321.74,Grant award payment,2022-11-03,SYNTHETIC-DEMO
TXN-000187,PA-97036-4340,PA-97036-4340,4340,true,2023,4337322.35,Grant award payment,2023-05-14,SYNTHETIC-DEMO
TXN-000188,PA-97036-4340,PA-97036-4340,4340,true,2023,3723484.65,Direct assistance payment,2022-11-02,SYNTHETIC-DEMO
TXN-000189,PA-97036-4340,PA-97036-4340,4340,true,2023,9244256.06,Grant award payment,2023-05-11,SYNTHETIC-DEMO
TXN-000190,LEG-0004,PA-60101-4340,4340,true,2023,3429680.83,Grant award payment,2022-12-15,SYNTHETIC-DEMO
TXN-000191,LEG-0004,PA-60101-4340,4340,true,2023,4172203.28,Grant award payment,2023-07-23,SYNTHETIC-DEMO
TXN-000192,PA-60101-4340,PA-60101-4340,4340,true,2023,7799802.83,Interagency transfer,2022-10-28,SYNTHETIC-DEMO
TXN-000193,LEG-0004,PA-60101-4340,4340,true,2023,4651023.29,Vendor / contract payment,2023-01-26,SYNTHETIC-DEMO
TXN-000194,LEG-0004,PA-60101-4340,4340,true,2023,6636021.88,Grant award payment,2023-05-05,SYNTHETIC-DEMO
TXN-000195,LEG-0004,PA-60101-4340,4340,true,2023,4447500.40,Vendor / contract payment,2023-09-15,SYNTHETIC-DEMO
TXN-000196,PA-60101-4340,PA-60101-4340,4340,true,2023,7906574.33,Grant award payment,2022-12-28,SYNTHETIC-DEMO
TXN-000197,LEG-0004,PA-60101-4340,4340,true,2023,6178624.76,Grant award payment,2023-03-01,SYNTHETIC-DEMO
TXN-000198,PA-60101-4340,PA-60101-4340,4340,true,2023,7298663.85,Grant award payment,2023-05-21,SYNTHETIC-DEMO
TXN-000199,LEG-0004,PA-60101-4340,4340,true,2023,4799991.04,Grant award payment,2023-04-03,SYNTHETIC-DEMO
TXN-000200,PA-60102-4340,PA-60102-4340,4340,true,2023,4561952.49,Vendor / contract payment,2022-12-27,SYNTHETIC-DEMO
TXN-000201,PA-60102-4340,PA-60102-4340,4340,true,2023,6335096.97,Grant award payment,2023-05-27,SYNTHETIC-DEMO
TXN-000202,PA-60102-4340,PA-60102-4340,4340,true,2023,6263226.61,Grant award payment,2023-03-21,SYNTHETIC-DEMO
TXN-000203,PA-60102-4340,PA-60102-4340,4340,true,2023,6283768.27,Grant award payment,2023-02-05,SYNTHETIC-DEMO
TXN-000204,PA-60102-4340,PA-60102-4340,4340,true,2023,4490005.17,Vendor / contract payment,2023-05-13,SYNTHETIC-DEMO
