mapping_id,code,sub_program_id,program_id,fiscal_year,rule_id,confidence,status,data_watermark
MAP-PA-97036-4337-2026,PA-97036-4337,SUB-PA-4337,PROG-PA,2026,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4337-2022,PA-60101-4337,SUB-PA-4337,PROG-PA,2022,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4337-2023,PA-60101-4337,SUB-PA-4337,PROG-PA,2023,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4337-2024,PA-60101-4337,SUB-PA-4337,PROG-PA,2024,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4337-2025,PA-60101-4337,SUB-PA-4337,PROG-PA,2025,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4337-2026,PA-60101-4337,SUB-PA-4337,PROG-PA,2026,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4337-2022,PA-60102-4337,SUB-PA-4337,PROG-PA,2022,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4337-2023,PA-60102-4337,SUB-PA-4337,PROG-PA,2023,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4337-2024,PA-60102-4337,SUB-PA-4337,PROG-PA,2024,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4337-2025,PA-60102-4337,SUB-PA-4337,PROG-PA,2025,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4337-2026,PA-60102-4337,SUB-PA-4337,PROG-PA,2026,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4337-2022,PA-60103-4337,SUB-PA-4337,PROG-PA,2022,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4337-2023,PA-60103-4337,SUB-PA-4337,PROG-PA,2023,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4337-2024,PA-60103-4337,SUB-PA-4337,PROG-PA,2024,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4337-2025,PA-60103-4337,SUB-PA-4337,PROG-PA,2025,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4337-2026,PA-60103-4337,SUB-PA-4337,PROG-PA,2026,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4338-2022,PA-97036-4338,SUB-PA-4338,PROG-PA,2022,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4338-2023,PA-97036-4338,SUB-PA-4338,PROG-PA,2023,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4338-2024,PA-97036-4338,SUB-PA-4338,PROG-PA,2024,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4338-2025,PA-97036-4338,SUB-PA-4338,PROG-PA,2025,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4338-2026,PA-97036-4338,SUB-PA-4338,PROG-PA,2026,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4338-2022,PA-60101-4338,SUB-PA-4338,PROG-PA,2022,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4338-2023,PA-60101-4338,SUB-PA-4338,PROG-PA,2023,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4338-2024,PA-60101-4338,SUB-PA-4338,PROG-PA,2024,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4338-2025,PA-60101-4338,SUB-PA-4338,PROG-PA,2025,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4338-2026,PA-60101-4338,SUB-PA-4338,PROG-PA,2026,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4338-2022,PA-60102-4338,SUB-PA-4338,PROG-PA,2022,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4338-2023,PA-60102-4338,SUB-PA-4338,PROG-PA,2023,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4338-2024,PA-60102-4338,SUB-PA-4338,PROG-PA,2024,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4338-2025,PA-60102-4338,SUB-PA-4338,PROG-PA,2025,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4338-2026,PA-60102-4338,SUB-PA-4338,PROG-PA,2026,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4338-2022,PA-60103-4338,SUB-PA-4338,PROG-PA,2022,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4338-2023,PA-60103-4338,SUB-PA-4338,PROG-PA,2023,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4338-2024,PA-60103-4338,SUB-PA-4338,PROG-PA,2024,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4338-2025,PA-60103-4338,SUB-PA-4338,PROG-PA,2025,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4338-2026,PA-60103-4338,SUB-PA-4338,PROG-PA,2026,BR-009,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4339-2022,PA-97036-4339,SUB-PA-4339,PROG-PA,2022,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4339-2023,PA-97036-4339,SUB-PA-4339,PROG-PA,2023,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4339-2024,PA-97036-4339,SUB-PA-4339,PROG-PA,2024,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4339-2025,PA-97036-4339,SUB-PA-4339,PROG-PA,2025,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4339-2026,PA-97036-4339,SUB-PA-4339,PROG-PA,2026,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4339-2022,PA-60101-4339,SUB-PA-4339,PROG-PA,2022,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4339-2023,PA-60101-4339,SUB-PA-4339,PROG-PA,2023,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4339-2024,PA-60101-4339,SUB-PA-4339,PROG-PA,2024,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4339-2025,PA-60101-4339,SUB-PA-4339,PROG-PA,2025,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4339-2026,PA-60101-4339,SUB-PA-4339,PROG-PA,2026,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4339-2022,PA-60102-4339,SUB-PA-4339,PROG-PA,2022,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4339-2023,PA-60102-4339,SUB-PA-4339,PROG-PA,2023,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4339-2024,PA-60102-4339,SUB-PA-4339,PROG-PA,2024,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4339-2025,PA-60102-4339,SUB-PA-4339,PROG-PA,2025,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4339-2026,PA-60102-4339,SUB-PA-4339,PROG-PA,2026,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4339-2022,PA-60103-4339,SUB-PA-4339,PROG-PA,2022,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4339-2023,PA-60103-4339,SUB-PA-4339,PROG-PA,2023,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4339-2024,PA-60103-4339,SUB-PA-4339,PROG-PA,2024,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4339-2025,PA-60103-4339,SUB-PA-4339,PROG-PA,2025,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4339-2026,PA-60103-4339,SUB-PA-4339,PROG-PA,2026,BR-010,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4340-2022,PA-97036-4340,SUB-PA-4340,PROG-PA,2022,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4340-2023,PA-97036-4340,SUB-PA-4340,PROG-PA,2023,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4340-2024,PA-97036-4340,SUB-PA-4340,PROG-PA,2024,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4340-2025,PA-97036-4340,SUB-PA-4340,PROG-PA,2025,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4340-2026,PA-97036-4340,SUB-PA-4340,PROG-PA,2026,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4340-2022,PA-60101-4340,SUB-PA-4340,PROG-PA,2022,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4340-2023,PA-60101-4340,SUB-PA-4340,PROG-PA,2023,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4340-2024,PA-60101-4340,SUB-PA-4340,PROG-PA,2024,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4340-2025,PA-60101-4340,SUB-PA-4340,PROG-PA,2025,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4340-2026,PA-60101-4340,SUB-PA-4340,PROG-PA,2026,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4340-2022,PA-60102-4340,SUB-PA-4340,PROG-PA,2022,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4340-2023,PA-60102-4340,SUB-PA-4340,PROG-PA,2023,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4340-2024,PA-60102-4340,SUB-PA-4340,PROG-PA,2024,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4340-2025,PA-60102-4340,SUB-PA-4340,PROG-PA,2025,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4340-2026,PA-60102-4340,SUB-PA-4340,PROG-PA,2026,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4340-2022,PA-60103-4340,SUB-PA-4340,PROG-PA,2022,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4340-2023,PA-60103-4340,SUB-PA-4340,PROG-PA,2023,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4340-2024,PA-60103-4340,SUB-PA-4340,PROG-PA,2024,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4340-2025,PA-60103-4340,SUB-PA-4340,PROG-PA,2025,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4340-2026,PA-60103-4340,SUB-PA-4340,PROG-PA,2026,BR-011,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4341-2022,PA-97036-4341,SUB-PA-4341,PROG-PA,2022,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-97036-4341-2023,PA-97036-4341,SUB-PA-4341,PROG-PA,2023,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-97036-4341-2024,PA-97036-4341,SUB-PA-4341,PROG-PA,2024,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-97036-4341-2025,PA-97036-4341,SUB-PA-4341,PROG-PA,2025,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-97036-4341-2026,PA-97036-4341,SUB-PA-4341,PROG-PA,2026,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60101-4341-2022,PA-60101-4341,SUB-PA-4341,PROG-PA,2022,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60101-4341-2023,PA-60101-4341,SUB-PA-4341,PROG-PA,2023,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60101-4341-2024,PA-60101-4341,SUB-PA-4341,PROG-PA,2024,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60101-4341-2025,PA-60101-4341,SUB-PA-4341,PROG-PA,2025,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60101-4341-2026,PA-60101-4341,SUB-PA-4341,PROG-PA,2026,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60102-4341-2022,PA-60102-4341,SUB-PA-4341,PROG-PA,2022,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60102-4341-2023,PA-60102-4341,SUB-PA-4341,PROG-PA,2023,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60102-4341-2024,PA-60102-4341,SUB-PA-4341,PROG-PA,2024,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60102-4341-2025,PA-60102-4341,SUB-PA-4341,PROG-PA,2025,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60102-4341-2026,PA-60102-4341,SUB-PA-4341,PROG-PA,2026,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60103-4341-2022,PA-60103-4341,SUB-PA-4341,PROG-PA,2022,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60103-4341-2023,PA-60103-4341,SUB-PA-4341,PROG-PA,2023,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60103-4341-2024,PA-60103-4341,SUB-PA-4341,PROG-PA,2024,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60103-4341-2025,PA-60103-4341,SUB-PA-4341,PROG-PA,2025,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-60103-4341-2026,PA-60103-4341,SUB-PA-4341,PROG-PA,2026,BR-012,0.88,auto,SYNTHETIC-DEMO
MAP-PA-97036-4346-2022,PA-97036-4346,SUB-PA-4346,PROG-PA,2022,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4346-2023,PA-97036-4346,SUB-PA-4346,PROG-PA,2023,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4346-2024,PA-97036-4346,SUB-PA-4346,PROG-PA,2024,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4346-2025,PA-97036-4346,SUB-PA-4346,PROG-PA,2025,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4346-2026,PA-97036-4346,SUB-PA-4346,PROG-PA,2026,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4346-2022,PA-60101-4346,SUB-PA-4346,PROG-PA,2022,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4346-2023,PA-60101-4346,SUB-PA-4346,PROG-PA,2023,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4346-2024,PA-60101-4346,SUB-PA-4346,PROG-PA,2024,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4346-2025,PA-60101-4346,SUB-PA-4346,PROG-PA,2025,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4346-2026,PA-60101-4346,SUB-PA-4346,PROG-PA,2026,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4346-2022,PA-60102-4346,SUB-PA-4346,PROG-PA,2022,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4346-2023,PA-60102-4346,SUB-PA-4346,PROG-PA,2023,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4346-2024,PA-60102-4346,SUB-PA-4346,PROG-PA,2024,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4346-2025,PA-60102-4346,SUB-PA-4346,PROG-PA,2025,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4346-2026,PA-60102-4346,SUB-PA-4346,PROG-PA,2026,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4346-2022,PA-60103-4346,SUB-PA-4346,PROG-PA,2022,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4346-2023,PA-60103-4346,SUB-PA-4346,PROG-PA,2023,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4346-2024,PA-60103-4346,SUB-PA-4346,PROG-PA,2024,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4346-2025,PA-60103-4346,SUB-PA-4346,PROG-PA,2025,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4346-2026,PA-60103-4346,SUB-PA-4346,PROG-PA,2026,BR-013,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4332-2022,HM-97039-4332,SUB-HM-ALL,PROG-HM,2022,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4332-2023,HM-97039-4332,SUB-HM-ALL,PROG-HM,2023,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4332-2024,HM-97039-4332,SUB-HM-ALL,PROG-HM,2024,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4332-2025,HM-97039-4332,SUB-HM-ALL,PROG-HM,2025,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4332-2026,HM-97039-4332,SUB-HM-ALL,PROG-HM,2026,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4337-2022,HM-97039-4337,SUB-HM-ALL,PROG-HM,2022,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4337-2023,HM-97039-4337,SUB-HM-ALL,PROG-HM,2023,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4337-2024,HM-97039-4337,SUB-HM-ALL,PROG-HM,2024,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4337-2025,HM-97039-4337,SUB-HM-ALL,PROG-HM,2025,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4337-2026,HM-97039-4337,SUB-HM-ALL,PROG-HM,2026,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4339-2022,HM-97039-4339,SUB-HM-ALL,PROG-HM,2022,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4339-2023,HM-97039-4339,SUB-HM-ALL,PROG-HM,2023,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4339-2024,HM-97039-4339,SUB-HM-ALL,PROG-HM,2024,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4339-2025,HM-97039-4339,SUB-HM-ALL,PROG-HM,2025,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4339-2026,HM-97039-4339,SUB-HM-ALL,PROG-HM,2026,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4340-2022,HM-97039-4340,SUB-HM-ALL,PROG-HM,2022,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4340-2023,HM-97039-4340,SUB-HM-ALL,PROG-HM,2023,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4340-2024,HM-97039-4340,SUB-HM-ALL,PROG-HM,2024,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4340-2025,HM-97039-4340,SUB-HM-ALL,PROG-HM,2025,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-97039-4340-2026,HM-97039-4340,SUB-HM-ALL,PROG-HM,2026,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4332-2022,HM-60201-4332,SUB-HM-ALL,PROG-HM,2022,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4332-2023,HM-60201-4332,SUB-HM-ALL,PROG-HM,2023,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4332-2024,HM-60201-4332,SUB-HM-ALL,PROG-HM,2024,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4332-2025,HM-60201-4332,SUB-HM-ALL,PROG-HM,2025,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4332-2026,HM-60201-4332,SUB-HM-ALL,PROG-HM,2026,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4337-2022,HM-60201-4337,SUB-HM-ALL,PROG-HM,2022,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4337-2023,HM-60201-4337,SUB-HM-ALL,PROG-HM,2023,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4337-2024,HM-60201-4337,SUB-HM-ALL,PROG-HM,2024,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4337-2025,HM-60201-4337,SUB-HM-ALL,PROG-HM,2025,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4337-2026,HM-60201-4337,SUB-HM-ALL,PROG-HM,2026,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4339-2022,HM-60201-4339,SUB-HM-ALL,PROG-HM,2022,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4339-2023,HM-60201-4339,SUB-HM-ALL,PROG-HM,2023,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4339-2024,HM-60201-4339,SUB-HM-ALL,PROG-HM,2024,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4339-2025,HM-60201-4339,SUB-HM-ALL,PROG-HM,2025,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4339-2026,HM-60201-4339,SUB-HM-ALL,PROG-HM,2026,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4340-2022,HM-60201-4340,SUB-HM-ALL,PROG-HM,2022,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4340-2023,HM-60201-4340,SUB-HM-ALL,PROG-HM,2023,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4340-2024,HM-60201-4340,SUB-HM-ALL,PROG-HM,2024,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4340-2025,HM-60201-4340,SUB-HM-ALL,PROG-HM,2025,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-HM-60201-4340-2026,HM-60201-4340,SUB-HM-ALL,PROG-HM,2026,BR-015,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4339-2022,IA-61101-4339,SUB-IA-IHP,PROG-IA,2022,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4339-2023,IA-61101-4339,SUB-IA-IHP,PROG-IA,2023,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4339-2024,IA-61101-4339,SUB-IA-IHP,PROG-IA,2024,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4339-2025,IA-61101-4339,SUB-IA-IHP,PROG-IA,2025,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4339-2026,IA-61101-4339,SUB-IA-IHP,PROG-IA,2026,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4340-2022,IA-61101-4340,SUB-IA-IHP,PROG-IA,2022,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4340-2023,IA-61101-4340,SUB-IA-IHP,PROG-IA,2023,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4340-2024,IA-61101-4340,SUB-IA-IHP,PROG-IA,2024,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4340-2025,IA-61101-4340,SUB-IA-IHP,PROG-IA,2025,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61101-4340-2026,IA-61101-4340,SUB-IA-IHP,PROG-IA,2026,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61102-4339-2022,IA-61102-4339,SUB-IA-IHP,PROG-IA,2022,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61102-4339-2023,IA-61102-4339,SUB-IA-IHP,PROG-IA,2023,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61102-4339-2024,IA-61102-4339,SUB-IA-IHP,PROG-IA,2024,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61102-4339-2025,IA-61102-4339,SUB-IA-IHP,PROG-IA,2025,BR-017,0.98,auto,SYNTHETIC-DEMO
MAP-IA-61102-4339-2026,IA-61102-4339,SUB-IA-IHP,PROG-IA,2026,BR-017,0.98,auto,SYNTHETIC-DEMO
