response_id,question_id,program_id,fiscal_year,answer_value,confidence,populated_by,review_status,data_watermark
RSP-PROG-HM-2026-Q10,Q10,PROG-HM,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q1,Q1,PROG-S01,2026,112056237.92,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q2,Q2,PROG-S01,2026,+7.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q3,Q3,PROG-S01,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q4,Q4,PROG-S01,2026,4 sub-programs; 9 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q5,Q5,PROG-S01,2026,4,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q6,Q6,PROG-S01,2026,66.8%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q7,Q7,PROG-S01,2026,1,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q8,Q8,PROG-S01,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q9,Q9,PROG-S01,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S01-2026-Q10,Q10,PROG-S01,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q1,Q1,PROG-S02,2026,131473683.60,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q2,Q2,PROG-S02,2026,-11.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q3,Q3,PROG-S02,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q4,Q4,PROG-S02,2026,3 sub-programs; 6 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q5,Q5,PROG-S02,2026,5,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q6,Q6,PROG-S02,2026,50.7%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q7,Q7,PROG-S02,2026,1,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q8,Q8,PROG-S02,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q9,Q9,PROG-S02,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S02-2026-Q10,Q10,PROG-S02,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q1,Q1,PROG-S03,2026,445026816.00,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q2,Q2,PROG-S03,2026,+52.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q3,Q3,PROG-S03,2026,yes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q4,Q4,PROG-S03,2026,4 sub-programs; 8 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q5,Q5,PROG-S03,2026,5,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q6,Q6,PROG-S03,2026,68.4%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q7,Q7,PROG-S03,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q8,Q8,PROG-S03,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q9,Q9,PROG-S03,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S03-2026-Q10,Q10,PROG-S03,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q1,Q1,PROG-S04,2026,488105217.60,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q2,Q2,PROG-S04,2026,+16.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q3,Q3,PROG-S04,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q4,Q4,PROG-S04,2026,3 sub-programs; 6 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q5,Q5,PROG-S04,2026,5,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q6,Q6,PROG-S04,2026,53.2%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q7,Q7,PROG-S04,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q8,Q8,PROG-S04,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q9,Q9,PROG-S04,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S04-2026-Q10,Q10,PROG-S04,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q1,Q1,PROG-S05,2026,43412040.00,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q2,Q2,PROG-S05,2026,+12.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q3,Q3,PROG-S05,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q4,Q4,PROG-S05,2026,2 sub-programs; 3 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q5,Q5,PROG-S05,2026,3,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q6,Q6,PROG-S05,2026,62.2%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q7,Q7,PROG-S05,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q8,Q8,PROG-S05,2026,FY2025: comprehensive assessment triggered,0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q9,Q9,PROG-S05,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S05-2026-Q10,Q10,PROG-S05,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q1,Q1,PROG-S06,2026,47826080.64,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q2,Q2,PROG-S06,2026,+3.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q3,Q3,PROG-S06,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q4,Q4,PROG-S06,2026,2 sub-programs; 3 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q5,Q5,PROG-S06,2026,3,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q6,Q6,PROG-S06,2026,59.5%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q7,Q7,PROG-S06,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q8,Q8,PROG-S06,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q9,Q9,PROG-S06,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S06-2026-Q10,Q10,PROG-S06,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q1,Q1,PROG-S07,2026,172379592.00,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q2,Q2,PROG-S07,2026,+19.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q3,Q3,PROG-S07,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q4,Q4,PROG-S07,2026,3 sub-programs; 5 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q5,Q5,PROG-S07,2026,4,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q6,Q6,PROG-S07,2026,53.9%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q7,Q7,PROG-S07,2026,1,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q8,Q8,PROG-S07,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q9,Q9,PROG-S07,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S07-2026-Q10,Q10,PROG-S07,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q1,Q1,PROG-S08,2026,555157302.00,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q2,Q2,PROG-S08,2026,-8.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q3,Q3,PROG-S08,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q4,Q4,PROG-S08,2026,4 sub-programs; 9 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q5,Q5,PROG-S08,2026,6,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q6,Q6,PROG-S08,2026,50.1%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q7,Q7,PROG-S08,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q8,Q8,PROG-S08,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q9,Q9,PROG-S08,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S08-2026-Q10,Q10,PROG-S08,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q1,Q1,PROG-S09,2026,125696445.60,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q2,Q2,PROG-S09,2026,+21.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q3,Q3,PROG-S09,2026,yes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q4,Q4,PROG-S09,2026,3 sub-programs; 6 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q5,Q5,PROG-S09,2026,4,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q6,Q6,PROG-S09,2026,48.8%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q7,Q7,PROG-S09,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q8,Q8,PROG-S09,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q9,Q9,PROG-S09,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S09-2026-Q10,Q10,PROG-S09,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q1,Q1,PROG-S10,2026,28658058.24,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q2,Q2,PROG-S10,2026,-6.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q3,Q3,PROG-S10,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q4,Q4,PROG-S10,2026,2 sub-programs; 3 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q5,Q5,PROG-S10,2026,3,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q6,Q6,PROG-S10,2026,59.5%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q7,Q7,PROG-S10,2026,1,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q8,Q8,PROG-S10,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q9,Q9,PROG-S10,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S10-2026-Q10,Q10,PROG-S10,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q1,Q1,PROG-S11,2026,171426402.00,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q2,Q2,PROG-S11,2026,+11.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q3,Q3,PROG-S11,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q4,Q4,PROG-S11,2026,3 sub-programs; 5 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q5,Q5,PROG-S11,2026,4,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q6,Q6,PROG-S11,2026,55.5%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q7,Q7,PROG-S11,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q8,Q8,PROG-S11,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q9,Q9,PROG-S11,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S11-2026-Q10,Q10,PROG-S11,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q1,Q1,PROG-S12,2026,269169868.80,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q2,Q2,PROG-S12,2026,-24.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q3,Q3,PROG-S12,2026,yes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q4,Q4,PROG-S12,2026,4 sub-programs; 8 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q5,Q5,PROG-S12,2026,5,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q6,Q6,PROG-S12,2026,68.4%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q7,Q7,PROG-S12,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q8,Q8,PROG-S12,2026,FY2025: comprehensive assessment triggered,0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q9,Q9,PROG-S12,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S12-2026-Q10,Q10,PROG-S12,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q1,Q1,PROG-S13,2026,44778333.60,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q2,Q2,PROG-S13,2026,+14.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q3,Q3,PROG-S13,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q4,Q4,PROG-S13,2026,2 sub-programs; 3 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q5,Q5,PROG-S13,2026,3,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q6,Q6,PROG-S13,2026,59.5%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q7,Q7,PROG-S13,2026,1,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q8,Q8,PROG-S13,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q9,Q9,PROG-S13,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S13-2026-Q10,Q10,PROG-S13,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q1,Q1,PROG-S14,2026,91531596.78,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q2,Q2,PROG-S14,2026,+9.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q3,Q3,PROG-S14,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q4,Q4,PROG-S14,2026,2 sub-programs; 5 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q5,Q5,PROG-S14,2026,3,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q6,Q6,PROG-S14,2026,50.3%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q7,Q7,PROG-S14,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q8,Q8,PROG-S14,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q9,Q9,PROG-S14,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S14-2026-Q10,Q10,PROG-S14,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q1,Q1,PROG-S15,2026,26377228.80,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q2,Q2,PROG-S15,2026,+4.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q3,Q3,PROG-S15,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q4,Q4,PROG-S15,2026,2 sub-programs; 3 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q5,Q5,PROG-S15,2026,3,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q6,Q6,PROG-S15,2026,59.5%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q7,Q7,PROG-S15,2026,1,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q8,Q8,PROG-S15,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q9,Q9,PROG-S15,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S15-2026-Q10,Q10,PROG-S15,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q1,Q1,PROG-S16,2026,322417536.00,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q2,Q2,PROG-S16,2026,+18.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q3,Q3,PROG-S16,2026,no,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q4,Q4,PROG-S16,2026,3 sub-programs; 6 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q5,Q5,PROG-S16,2026,5,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q6,Q6,PROG-S16,2026,53.2%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q7,Q7,PROG-S16,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q8,Q8,PROG-S16,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q9,Q9,PROG-S16,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-S16-2026-Q10,Q10,PROG-S16,2026,,,human,draft,SYNTHETIC-DEMO
